p,d,q,aic,test_mape
15.0,0.0,0.0,1165.7429984932216,21.653771518772043
7.0,0.0,9.0,1210.4460753480585,25.73801449700684
4.0,10.0,4.0,1763.745630191644,37180641.257152416
12.0,1.0,7.0,1113.801576864701,14.647430326159833
5.0,0.0,12.0,1198.7846595742476,19.371047798260204
2.0,0.0,2.0,1257.8163999170033,17.59042109966789
8.0,3.0,4.0,1172.8319121251675,117.33468618932234
15.0,2.0,20.0,1041.2850055969875,23.885720536309805
6.0,9.0,1.0,1760.9914016304688,44171611.186571866
1.0,20.0,7.0,4334.793719762889,7.891379244247802e+18
